[./benchmark_queries/tpcds_all.sql] stmt#12/103 failed after 0.9s: (2013, 'Lost connection to MySQL server during query')
FAILED_STMT_PREFIX stmt#12: select sum(ws_net_paid) as total_sum ,i_category ,i_class ,grouping(i_category)+grouping(i_class) as lochierarchy ,rank() over ( partition by grouping(i_category)+grouping(i_class), case when grouping(i_class) = 0 then i_category end order by sum(ws_net_paid) desc) as rank_within_parent from web_sales ,date_dim d1 ,item where d1.d_month_seq between 1205 and 1205+11 and d1.d_date_sk = ws_sold_date_sk and i_item_sk = ws_item_sk group by i_category,i_class WITH ROLLUP order by lochierarchy desc, case when lochierarchy = 0 then i_category end, rank_within_parent LIMIT 100
[./benchmark_queries/tpcds_all.sql] stmt#13/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#14/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#15/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#16/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#17/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#18/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#19/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#20/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#21/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#22/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#23/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#24/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#25/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#26/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#27/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#28/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#29/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#30/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#31/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#32/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#33/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#34/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#35/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#36/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#37/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#38/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#39/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#40/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#41/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#42/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#43/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#44/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#45/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#46/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#47/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#48/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#49/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#50/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#51/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#52/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#53/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#54/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#55/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#56/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#57/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#58/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#59/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#60/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#61/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#62/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#63/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#64/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#65/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#66/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#67/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#68/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#69/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#70/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#71/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#72/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#73/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#74/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#75/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#76/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#77/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#78/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#79/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#80/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#81/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#82/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#83/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#84/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#85/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#86/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#87/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#88/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#89/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#90/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#91/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#92/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#93/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#94/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#95/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#96/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#97/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#98/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#99/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#100/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#101/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#102/103 failed after 0.0s: (0, '')
[./benchmark_queries/tpcds_all.sql] stmt#103/103 failed after 0.0s: (0, '')
