[stmt#10] 10/102 failed after 600.0s: (3024, 'Query execution was interrupted, maximum statement execution time exceeded')
[stmt#14] 14/102 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[stmt#19] 19/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_item_id, ca_country, ca_state, ca_county)\norder by ca_country,\n         ca_st' at line 26")
[stmt#22] 22/102 failed after 0.0s: (1584, 'Incorrect parameters in the call to stored function `cast`')
[stmt#23] 23/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_product_name\n       ,i_brand\n       ,i_class\n       ,i_category)\norder by qoh' at line 12")
[stmt#24] 24/102 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[stmt#25] 25/102 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[stmt#30] 30/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_item_id, s_state)\norder by i_item_id\n       ,s_state\n    limit 100' at line 17")
[stmt#38] 38/102 failed after 600.0s: (3024, 'Query execution was interrupted, maximum statement execution time exceeded')
[stmt#39] 39/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_category,i_class)\norder by\n    lochierarchy desc\n       ,case when lochierarc' at line 22")
[stmt#44] 44/102 failed after 0.0s: (1584, 'Incorrect parameters in the call to stored function `cast`')
[stmt#52] 52/102 failed after 0.0s: (1630, "FUNCTION tpcds.sum does not exist. Check the 'Function Name Parsing and Resolution' section in the Reference Manual")
[stmt#53] 53/102 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[stmt#55] 55/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'full outer join store_v1 store on (web.item_sk = store.item_sk\n                a' at line 36")
[stmt#58] 58/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'int) as segment\n     from   my_revenue\n    )\nselect  segment, count(*) as num_cu' at line 46")
[stmt#71] 71/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))' at line 29")
[stmt#74] 74/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(s_state,s_county)\norder by\n    lochierarchy desc\n       ,case when lochierarchy' at line 30")
[stmt#81] 81/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(channel, id)\norder by channel\n       ,id\n    LIMIT 100' at line 102")
[stmt#84] 84/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(channel, id)\norder by channel\n       ,id\n    LIMIT 100' at line 90")
[stmt#90] 90/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_category,i_class)\norder by\n    lochierarchy desc,\n    case when lochierarchy ' at line 18")
[stmt#99] 99/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'select count(*)\nfrom store_sales\n   ,household_demographics\n   ,time_dim, store\n' at line 35")
[stmt#100] 100/102 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'outer join csci on (ssci.customer_sk=csci.customer_sk\n    and ssci.item_sk = csc' at line 20")
