[stmt#13] 13/101 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[stmt#18] 18/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_item_id, ca_country, ca_state, ca_county)\norder by ca_country,\n         ca_st' at line 26")
[stmt#21] 21/101 failed after 0.0s: (1584, 'Incorrect parameters in the call to stored function `cast`')
[stmt#22] 22/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_product_name\n       ,i_brand\n       ,i_class\n       ,i_category)\norder by qoh' at line 12")
[stmt#23] 23/101 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[stmt#24] 24/101 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[stmt#29] 29/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_item_id, s_state)\norder by i_item_id\n       ,s_state\n    limit 100' at line 17")
[stmt#37] 37/101 failed after 180.0s: (3024, 'Query execution was interrupted, maximum statement execution time exceeded')
[stmt#38] 38/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_category,i_class)\norder by\n    lochierarchy desc\n       ,case when lochierarc' at line 22")
[stmt#43] 43/101 failed after 0.0s: (1584, 'Incorrect parameters in the call to stored function `cast`')
[stmt#51] 51/101 failed after 0.0s: (1630, "FUNCTION tpcds.sum does not exist. Check the 'Function Name Parsing and Resolution' section in the Reference Manual")
[stmt#52] 52/101 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[stmt#54] 54/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'full outer join store_v1 store on (web.item_sk = store.item_sk\n                a' at line 36")
[stmt#57] 57/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'int) as segment\n     from   my_revenue\n    )\nselect  segment, count(*) as num_cu' at line 46")
[stmt#70] 70/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))' at line 29")
[stmt#73] 73/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(s_state,s_county)\norder by\n    lochierarchy desc\n       ,case when lochierarchy' at line 30")
[stmt#80] 80/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(channel, id)\norder by channel\n       ,id\n    LIMIT 100' at line 102")
[stmt#83] 83/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(channel, id)\norder by channel\n       ,id\n    LIMIT 100' at line 90")
[stmt#89] 89/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(i_category,i_class)\norder by\n    lochierarchy desc,\n    case when lochierarchy ' at line 18")
[stmt#98] 98/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'select count(*)\nfrom store_sales\n   ,household_demographics\n   ,time_dim, store\n' at line 35")
[stmt#99] 99/101 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'outer join csci on (ssci.customer_sk=csci.customer_sk\n    and ssci.item_sk = csc' at line 20")
